"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.245148709,      0.3277384449,      0.1449366193,       4.237461109
          0,           0,           1,      -1.423063815,      0.1617166193,    -0.02412498322,       4.059494293
          0,           0,           2,      -1.774963553,     -0.1312334922,     -0.3332714596,       3.707891193
          0,           0,           3,      -2.040700187,     -0.3706886716,     -0.5562048701,       3.440686241
          0,           0,           4,      -2.230774982,     -0.5867060962,     -0.7490745342,       3.246962761
          0,           0,           5,      -2.313611894,     -0.6848925411,     -0.9059057193,       3.159486278
          0,           0,           6,       -2.36712488,     -0.7248229669,     -0.9749872278,       3.109638977
          0,           0,           7,      -2.407528338,     -0.7790398148,     -0.9816189037,       3.076634505
          0,           0,           8,      -2.457550535,     -0.8602054355,      -1.010825471,       3.028626519
          0,           0,           9,      -2.482437488,      -0.873432422,      -1.053516537,       3.002027872
          0,           0,          10,      -2.490545095,     -0.8638052861,      -1.098939827,       2.991203741
          0,           0,          11,      -2.492352297,     -0.8874091114,      -1.113572307,       2.988080034
          0,           0,          12,      -2.523162737,     -0.9332141427,      -1.158536111,       2.958380048
          0,           0,          13,      -2.544058804,     -0.9544427102,      -1.178947086,        2.93839765
          0,           0,          14,       -2.55771381,     -0.9656834043,      -1.192694846,       2.925006009
          0,           0,          15,      -2.564836011,      -0.986760324,      -1.188603062,       2.917183817
          0,           0,          16,      -2.588174915,      -1.019727641,      -1.221022938,       2.894055401
          0,           0,          17,      -2.604530194,      -1.031677903,      -1.241093839,        2.87761896
          0,           0,          18,      -2.616930362,      -1.041433687,      -1.243124043,       2.864748458
          0,           0,          19,      -2.622620526,      -1.048410178,       -1.22707488,         2.8585899
          0,           0,          20,      -2.622326252,      -1.065422409,      -1.216274739,       2.859112008
          0,           0,          21,      -2.654657623,      -1.106252308,      -1.262166534,       2.827473244
          0,           0,          22,      -2.673803848,      -1.124023754,      -1.284380843,       2.808417474
          0,           0,          23,        -2.6820624,      -1.119740842,      -1.292356613,       2.799768828
          0,           0,          24,      -2.682852366,      -1.116205268,      -1.288570579,       2.798723554
          0,           0,          25,      -2.710766563,      -1.150912982,      -1.321780105,       2.770831542
          0,           0,          26,      -2.728524824,      -1.172694788,      -1.339946918,       2.753329205
          0,           0,          27,      -2.740537019,      -1.171421879,      -1.348024907,       2.740993487
          0,           0,          28,      -2.743391902,      -1.152706713,      -1.354071638,       2.736089634
          0,           0,          29,      -2.733671005,      -1.102820517,      -1.337073475,       2.745279072
          0,           0,          30,       -2.77162887,      -1.116235176,      -1.371509962,       2.709524389
