"Density","Energy","Mach","Momentum:0","Momentum:1","Momentum:2","Pressure","Pressure_Coefficient","Temperature","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
209.5,6.3079e+07,1.7,9729,2.5435e-09,0,8.2027e+05,-1.5992e-11,652.64,1,0,0,0.3,0
209.5,6.3079e+07,1.7,9729,2.9165e-09,0,8.2027e+05,-1.6593e-11,652.64,1,0.001,0.001,0.3,0
209.5,6.3079e+07,1.7,9729,3.2895e-09,0,8.2027e+05,-1.7193e-11,652.64,1,0.002,0.002,0.3,0
209.5,6.3079e+07,1.7,9729,3.6625e-09,0,8.2027e+05,-1.7794e-11,652.64,1,0.003,0.003,0.3,0
209.5,6.3079e+07,1.7,9729,4.0355e-09,0,8.2027e+05,-1.8395e-11,652.64,1,0.004,0.004,0.3,0
209.5,6.3079e+07,1.7,9729,4.4086e-09,0,8.2027e+05,-1.8995e-11,652.64,1,0.005,0.005,0.3,0
209.5,6.3079e+07,1.7,9729,4.7816e-09,0,8.2027e+05,-1.9596e-11,652.64,1,0.006,0.006,0.3,0
209.5,6.3079e+07,1.7,9729,5.1546e-09,0,8.2027e+05,-2.0196e-11,652.64,1,0.007,0.007,0.3,0
209.5,6.3079e+07,1.7,9729,5.5276e-09,0,8.2027e+05,-2.0797e-11,652.64,1,0.008,0.008,0.3,0
209.5,6.3079e+07,1.7,9729,5.9006e-09,0,8.2027e+05,-2.1398e-11,652.64,1,0.009,0.009,0.3,0
209.5,6.3079e+07,1.7,9729,6.2737e-09,0,8.2027e+05,-2.1998e-11,652.64,1,0.01,0.01,0.3,0
209.5,6.3079e+07,1.7,9729,6.6467e-09,0,8.2027e+05,-2.2599e-11,652.64,1,0.011,0.011,0.3,0
209.5,6.3079e+07,1.7,9729,7.0197e-09,0,8.2027e+05,-2.3199e-11,652.64,1,0.012,0.012,0.3,0
209.5,6.3079e+07,1.7,9729,7.3927e-09,0,8.2027e+05,-2.38e-11,652.64,1,0.013,0.013,0.3,0
209.5,6.3079e+07,1.7,9729,7.7657e-09,0,8.2027e+05,-2.4401e-11,652.64,1,0.014,0.014,0.3,0
209.5,6.3079e+07,1.7,9729,8.1388e-09,0,8.2027e+05,-2.5001e-11,652.64,1,0.015,0.015,0.3,0
209.5,6.3079e+07,1.7,9729,8.5118e-09,0,8.2027e+05,-2.5602e-11,652.64,1,0.016,0.016,0.3,0
209.5,6.3079e+07,1.7,9729,8.8848e-09,0,8.2027e+05,-2.6202e-11,652.64,1,0.017,0.017,0.3,0
209.5,6.3079e+07,1.7,9729,9.3227e-09,0,8.2027e+05,-2.686e-11,652.64,1,0.018,0.018,0.3,0
209.5,6.3079e+07,1.7,9729,9.9845e-09,0,8.2027e+05,-2.7716e-11,652.64,1,0.019,0.019,0.3,0
209.5,6.3079e+07,1.7,9729,1.0646e-08,0,8.2027e+05,-2.8572e-11,652.64,1,0.02,0.02,0.3,0
209.5,6.3079e+07,1.7,9729,1.1308e-08,0,8.2027e+05,-2.9428e-11,652.64,1,0.021,0.021,0.3,0
209.5,6.3079e+07,1.7,9729,1.197e-08,0,8.2027e+05,-3.0284e-11,652.64,1,0.022,0.022,0.3,0
209.5,6.3079e+07,1.7,9729,1.2632e-08,0,8.2027e+05,-3.114e-11,652.64,1,0.023,0.023,0.3,0
209.5,6.3079e+07,1.7,9729,1.3293e-08,0,8.2027e+05,-3.1995e-11,652.64,1,0.024,0.024,0.3,0
209.5,6.3079e+07,1.7,9729,1.3955e-08,0,8.2027e+05,-3.2851e-11,652.64,1,0.025,0.025,0.3,0
209.5,6.3079e+07,1.7,9729,1.4617e-08,0,8.2027e+05,-3.3707e-11,652.64,1,0.026,0.026,0.3,0
209.5,6.3079e+07,1.7,9729,1.5279e-08,0,8.2027e+05,-3.4563e-11,652.64,1,0.027,0.027,0.3,0
209.5,6.3079e+07,1.7,9729,1.5941e-08,0,8.2027e+05,-3.5419e-11,652.64,1,0.028,0.028,0.3,0
209.5,6.3079e+07,1.7,9729,1.6602e-08,0,8.2027e+05,-3.6275e-11,652.64,1,0.029,0.029,0.3,0
209.5,6.3079e+07,1.7,9729,1.7264e-08,0,8.2027e+05,-3.7131e-11,652.64,1,0.03,0.03,0.3,0
209.5,6.3079e+07,1.7,9729,1.7926e-08,0,8.2027e+05,-3.7987e-11,652.64,1,0.031,0.031,0.3,0
209.5,6.3079e+07,1.7,9729,1.8588e-08,0,8.2027e+05,-3.8842e-11,652.64,1,0.032,0.032,0.3,0
209.5,6.3079e+07,1.7,9729,1.925e-08,0,8.2027e+05,-3.9698e-11,652.64,1,0.033,0.033,0.3,0
209.5,6.3079e+07,1.7,9729,1.9911e-08,0,8.2027e+05,-4.0554e-11,652.64,1,0.034,0.034,0.3,0
209.5,6.3079e+07,1.7,9729,2.0573e-08,0,8.2027e+05,-4.141e-11,652.64,1,0.035,0.035,0.3,0
209.5,6.3079e+07,1.7,9729,2.1602e-08,0,8.2027e+05,-4.2341e-11,652.64,1,0.036,0.036,0.3,0
209.5,6.3079e+07,1.7,9729,2.2677e-08,0,8.2027e+05,-4.3395e-11,652.64,1,0.037,0.037,0.3,0
209.5,6.3079e+07,1.7,9729,2.3752e-08,0,8.2027e+05,-4.4449e-11,652.64,1,0.038,0.038,0.3,0
209.5,6.3079e+07,1.7,9729,2.4827e-08,0,8.2027e+05,-4.5503e-11,652.64,1,0.039,0.039,0.3,0
209.5,6.3079e+07,1.7,9729,2.5902e-08,0,8.2027e+05,-4.6558e-11,652.64,1,0.04,0.04,0.3,0
209.5,6.3079e+07,1.7,9729,2.6977e-08,0,8.2027e+05,-4.7612e-11,652.64,1,0.041,0.041,0.3,0
209.5,6.3079e+07,1.7,9729,2.8052e-08,0,8.2027e+05,-4.8666e-11,652.64,1,0.042,0.042,0.3,0
209.5,6.3079e+07,1.7,9729,2.9127e-08,0,8.2027e+05,-4.972e-11,652.64,1,0.043,0.043,0.3,0
209.5,6.3079e+07,1.7,9729,3.0202e-08,0,8.2027e+05,-5.0774e-11,652.64,1,0.044,0.044,0.3,0
209.5,6.3079e+07,1.7,9729,3.1277e-08,0,8.2027e+05,-5.1828e-11,652.64,1,0.045,0.045,0.3,0
209.5,6.3079e+07,1.7,9729,3.2352e-08,0,8.2027e+05,-5.2883e-11,652.64,1,0.046,0.046,0.3,0
209.5,6.3079e+07,1.7,9729,3.3427e-08,0,8.2027e+05,-5.3937e-11,652.64,1,0.047,0.047,0.3,0
209.5,6.3079e+07,1.7,9729,3.4502e-08,0,8.2027e+05,-5.4991e-11,652.64,1,0.048,0.048,0.3,0
209.5,6.3079e+07,1.7,9729,3.5577e-08,0,8.2027e+05,-5.6045e-11,652.64,1,0.049,0.049,0.3,0
209.5,6.3079e+07,1.7,9729,3.6652e-08,0,8.2027e+05,-5.7099e-11,652.64,1,0.05,0.05,0.3,0
209.5,6.3079e+07,1.7,9729,3.7727e-08,0,8.2027e+05,-5.8153e-11,652.64,1,0.051,0.051,0.3,0
209.5,6.3079e+07,1.7,9729,3.8802e-08,0,8.2027e+05,-5.9207e-11,652.64,1,0.052,0.052,0.3,0
209.5,6.3079e+07,1.7,9729,3.9877e-08,0,8.2027e+05,-6.0262e-11,652.64,1,0.053,0.053,0.3,0
209.5,6.3079e+07,1.7,9729,4.1363e-08,0,8.2027e+05,-6.155e-11,652.64,1,0.054,0.054,0.3,0
209.5,6.3079e+07,1.7,9729,4.2879e-08,0,8.2027e+05,-6.2856e-11,652.64,1,0.055,0.055,0.3,0
209.5,6.3079e+07,1.7,9729,4.4394e-08,0,8.2027e+05,-6.4162e-11,652.64,1,0.056,0.056,0.3,0
209.5,6.3079e+07,1.7,9729,4.5909e-08,0,8.2027e+05,-6.5468e-11,652.64,1,0.057,0.057,0.3,0
209.5,6.3079e+07,1.7,9729,4.7425e-08,0,8.2027e+05,-6.6774e-11,652.64,1,0.058,0.058,0.3,0
209.5,6.3079e+07,1.7,9729,4.894e-08,0,8.2027e+05,-6.808e-11,652.64,1,0.059,0.059,0.3,0
209.5,6.3079e+07,1.7,9729,5.0455e-08,0,8.2027e+05,-6.9386e-11,652.64,1,0.06,0.06,0.3,0
209.5,6.3079e+07,1.7,9729,5.1971e-08,0,8.2027e+05,-7.0691e-11,652.64,1,0.061,0.061,0.3,0
209.5,6.3079e+07,1.7,9729,5.3486e-08,0,8.2027e+05,-7.1997e-11,652.64,1,0.062,0.062,0.3,0
209.5,6.3079e+07,1.7,9729,5.5002e-08,0,8.2027e+05,-7.3303e-11,652.64,1,0.063,0.063,0.3,0
209.5,6.3079e+07,1.7,9729,5.6517e-08,0,8.2027e+05,-7.4609e-11,652.64,1,0.064,0.064,0.3,0
209.5,6.3079e+07,1.7,9729,5.8032e-08,0,8.2027e+05,-7.5915e-11,652.64,1,0.065,0.065,0.3,0
209.5,6.3079e+07,1.7,9729,5.9548e-08,0,8.2027e+05,-7.7221e-11,652.64,1,0.066,0.066,0.3,0
209.5,6.3079e+07,1.7,9729,6.1063e-08,0,8.2027e+05,-7.8527e-11,652.64,1,0.067,0.067,0.3,0
209.5,6.3079e+07,1.7,9729,6.2578e-08,0,8.2027e+05,-7.9832e-11,652.64,1,0.068,0.068,0.3,0
209.5,6.3079e+07,1.7,9729,6.4122e-08,0,8.2027e+05,-8.1134e-11,652.64,1,0.069,0.069,0.3,0
209.5,6.3079e+07,1.7,9729,6.6134e-08,0,8.2027e+05,-8.2369e-11,652.64,1,0.07,0.07,0.3,0
209.5,6.3079e+07,1.7,9729,6.8812e-08,0,8.2027e+05,-8.3448e-11,652.64,1,0.071,0.071,0.3,0
209.5,6.3079e+07,1.7,9729,7.0945e-08,0,8.2027e+05,-8.446e-11,652.64,1,0.072,0.072,0.3,0
209.5,6.3079e+07,1.7,9729,7.2805e-08,0,8.2027e+05,-8.5455e-11,652.64,1,0.073,0.073,0.3,0
209.5,6.3079e+07,1.7,9729,7.4664e-08,0,8.2027e+05,-8.645e-11,652.64,1,0.074,0.074,0.3,0
209.5,6.3079e+07,1.7,9729,7.6523e-08,0,8.2027e+05,-8.7444e-11,652.64,1,0.075,0.075,0.3,0
209.5,6.3079e+07,1.7,9729,7.8382e-08,0,8.2027e+05,-8.8439e-11,652.64,1,0.076,0.076,0.3,0
209.5,6.3079e+07,1.7,9729,8.0241e-08,0,8.2027e+05,-8.9433e-11,652.64,1,0.077,0.077,0.3,0
209.5,6.3079e+07,1.7,9729,8.2101e-08,0,8.2027e+05,-9.0428e-11,652.64,1,0.078,0.078,0.3,0
209.5,6.3079e+07,1.7,9729,8.396e-08,0,8.2027e+05,-9.1423e-11,652.64,1,0.079,0.079,0.3,0
209.5,6.3079e+07,1.7,9729,8.5819e-08,0,8.2027e+05,-9.2417e-11,652.64,1,0.08,0.08,0.3,0
209.5,6.3079e+07,1.7,9729,8.7678e-08,0,8.2027e+05,-9.3412e-11,652.64,1,0.081,0.081,0.3,0
