,Density,Energy,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,G,Z,s
0,209.5,63079000.0,1.7,9729.0,1.7014e-07,0,820270.0,-1.8707e-10,652.64,1,0.0,0.0,0.3,0,0.32869970180803176,0.3311753550277774,507.6149043123545
1,209.5,63079000.0,1.7,9729.0,1.7834e-07,0,820270.0,-1.8901e-10,652.64,1,0.001,0.001,0.3,0,0.32869970180803176,0.3311753550277774,507.6149043123545
2,209.5,63079000.0,1.7,9729.0,1.8654e-07,0,820270.0,-1.9095e-10,652.64,1,0.002,0.002,0.3,0,0.32869970180803176,0.3311753550277774,507.6149043123545
3,209.5,63079000.0,1.7,9729.0,1.9474e-07,0,820270.0,-1.9289e-10,652.64,1,0.003,0.003,0.3,0,0.32869970180803176,0.3311753550277774,507.6149043123545
4,209.5,63079000.0,1.7,9729.0,2.0294e-07,0,820270.0,-1.9482e-10,652.64,1,0.004,0.004,0.3,0,0.32869970180803176,0.3311753550277774,507.6149043123545
5,209.5,63079000.0,1.7,9729.0,2.1114e-07,0,820270.0,-1.9676e-10,652.64,1,0.005,0.005,0.3,0,0.32869970180803176,0.3311753550277774,507.6149043123545
6,209.5,63079000.0,1.7,9729.0,2.1934e-07,0,820270.0,-1.987e-10,652.64,1,0.006,0.006,0.3,0,0.32869970180803176,0.3311753550277774,507.6149043123545
7,209.5,63079000.0,1.7,9729.0,2.2754e-07,0,820270.0,-2.0064e-10,652.64,1,0.007,0.007,0.3,0,0.32869970180803176,0.3311753550277774,507.6149043123545
8,209.5,63079000.0,1.7,9729.0,2.3574e-07,0,820270.0,-2.0258e-10,652.64,1,0.008,0.008,0.3,0,0.32869970180803176,0.3311753550277774,507.6149043123545
9,209.5,63079000.0,1.7,9729.0,2.4393e-07,0,820270.0,-2.0452e-10,652.64,1,0.009,0.009,0.3,0,0.32869970180803176,0.3311753550277774,507.6149043123545
10,209.5,63079000.0,1.7,9729.0,2.5213e-07,0,820270.0,-2.0645e-10,652.64,1,0.01,0.01,0.3,0,0.32869970180803176,0.3311753550277774,507.6149043123545
11,209.5,63079000.0,1.7,9729.0,2.6033e-07,0,820270.0,-2.0839e-10,652.64,1,0.011,0.011,0.3,0,0.32869970180803176,0.3311753550277774,507.6149043123545
12,209.5,63079000.0,1.7,9729.0,2.6853e-07,0,820270.0,-2.1033e-10,652.64,1,0.012,0.012,0.3,0,0.32869970180803176,0.3311753550277774,507.6149043123545
13,209.5,63079000.0,1.7,9729.0,2.7673e-07,0,820270.0,-2.1227e-10,652.64,1,0.013,0.013,0.3,0,0.32869970180803176,0.3311753550277774,507.6149043123545
14,209.5,63079000.0,1.7,9729.0,2.8493e-07,0,820270.0,-2.1421e-10,652.64,1,0.014,0.014,0.3,0,0.32869970180803176,0.3311753550277774,507.6149043123545
15,209.5,63079000.0,1.7,9729.0,2.9313e-07,0,820270.0,-2.1614e-10,652.64,1,0.015,0.015,0.3,0,0.32869970180803176,0.3311753550277774,507.6149043123545
