"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.252842579,      0.3785913796,      0.1347621189,        4.80875777
          0,           0,           1,      -1.432555193,       0.214997254,    -0.03557779496,       4.629069861
          0,           0,           2,      -1.782617274,    -0.08044341249,     -0.3521575484,       4.279078287
          0,           0,           3,       -2.01144506,     -0.3003198408,     -0.5613399284,       4.050008637
          0,           0,           4,      -2.217716056,     -0.5294235749,     -0.7650975181,       3.843251647
          0,           0,           5,      -2.339541462,     -0.6681695061,     -0.9338597659,       3.720699457
          0,           0,           6,      -2.409633408,     -0.7077670575,      -1.013330838,       3.651221193
          0,           0,           7,      -2.464580617,     -0.7688324445,      -1.023765812,       3.597476512
          0,           0,           8,      -2.517880486,     -0.8472522582,      -1.065037066,       3.544486776
          0,           0,           9,      -2.546503346,     -0.8508289813,      -1.091537545,       3.515431157
          0,           0,          10,      -2.553898685,     -0.8313134476,      -1.136942711,       3.507173795
          0,           0,          11,      -2.561430063,     -0.8565558065,      -1.153964047,       3.499614297
          0,           0,          12,      -2.596574678,     -0.9169674976,      -1.201848735,       3.464525669
          0,           0,          13,      -2.615418578,     -0.9313956013,      -1.229385769,       3.445646342
          0,           0,          14,      -2.621896444,     -0.9409674392,      -1.246832752,       3.438426074
          0,           0,          15,      -2.634213797,     -0.9547222031,      -1.241686959,       3.426381058
          0,           0,          16,      -2.652584893,     -0.9983299263,      -1.263158302,        3.40510782
          0,           0,          17,      -2.669293932,       -1.00254604,       -1.27311353,       3.387985402
          0,           0,          18,      -2.685012511,      -1.048606484,      -1.301479986,        3.37245971
          0,           0,          19,      -2.690942054,      -1.014830207,      -1.259451653,       3.365170002
          0,           0,          20,      -2.684367364,      -1.032179896,      -1.295905088,       3.372610655
          0,           0,          21,       -2.72431846,      -1.056288505,      -1.321512943,       3.335138574
          0,           0,          22,      -2.735944192,      -1.012940993,       -1.34587145,       3.323052326
          0,           0,          23,      -2.741123646,      -0.957503309,      -1.343383945,       3.318583098
          0,           0,          24,      -2.729519971,     -0.9412752755,      -1.290893278,       3.330515626
          0,           0,          25,      -2.760575365,     -0.9723608122,      -1.324943999,       3.300292236
          0,           0,          26,      -2.773797488,     -0.9631753477,      -1.335373699,       3.287062928
          0,           0,          27,      -2.783593421,     -0.9746963333,      -1.349726244,        3.27674986
          0,           0,          28,      -2.782772012,     -0.9854149496,      -1.345610764,       3.277394872
          0,           0,          29,      -2.814770931,       -1.06355809,      -1.356110131,       3.246149406
          0,           0,          30,      -2.832544358,      -1.098589249,      -1.363363753,       3.228459598
          0,           0,          31,      -2.845459622,      -1.135451114,       -1.37815184,       3.215618911
          0,           0,          32,      -2.845398529,      -1.151184316,       -1.33258975,       3.215708873
          0,           0,          33,       -2.83174624,      -1.152265414,      -1.310971792,       3.228945529
          0,           0,          34,      -2.867357782,      -1.215935228,      -1.370726092,       3.193598991
          0,           0,          35,      -2.877968275,     -0.9557236106,      -1.404186086,       3.183516216
          0,           0,          36,       -2.89174789,      -0.994676037,      -1.398150809,       3.169684805
          0,           0,          37,      -2.880647902,      -0.996009371,       -1.36487873,       3.180675135
          0,           0,          38,      -2.895552532,      -1.019956903,      -1.426826553,       3.165788736
          0,           0,          39,      -2.912178628,      -1.035893448,      -1.465280874,       3.149230927
          0,           0,          40,      -2.917992234,      -1.018853402,      -1.469186773,       3.143757729
          0,           0,          41,      -2.917814484,      -1.020888502,      -1.452906209,       3.143984095
          0,           0,          42,      -2.942236207,      -1.068264908,      -1.491381344,       3.119400679
          0,           0,          43,      -2.951294319,      -1.058426403,      -1.494347159,       3.110309524
          0,           0,          44,      -2.953655338,      -1.068021836,       -1.47816605,       3.108020752
          0,           0,          45,      -2.946321025,      -1.078664235,      -1.419820256,       3.115297842
          0,           0,          46,      -2.937908144,      -1.058262966,      -1.409127948,        3.12325959
          0,           0,          47,      -2.957213128,      -1.033522538,      -1.453546919,       3.104417634
          0,           0,          48,      -2.972574113,      -1.048538219,      -1.454236157,       3.089157171
          0,           0,          49,      -2.977807065,      -1.069551456,      -1.492075937,       3.083842544
          0,           0,          50,      -2.962822932,      -1.064975045,      -1.496481373,       3.098745915
          0,           0,          51,      -2.980511807,       -1.08080465,      -1.517451947,       3.081145583
          0,           0,          52,      -2.995884454,      -1.099680776,      -1.523044141,       3.065827403
          0,           0,          53,      -3.006344917,      -1.114458943,      -1.543843084,       3.055326084
          0,           0,          54,      -3.000877221,      -1.115272284,      -1.544171955,       3.060682249
          0,           0,          55,      -3.024140107,      -1.195344938,      -1.577782828,       3.037331313
          0,           0,          56,      -3.041690314,      -1.218264745,      -1.602571092,       3.019772728
          0,           0,          57,      -3.047746663,      -1.227024652,      -1.611114965,       3.013754057
          0,           0,          58,      -3.034373366,       -1.21876703,      -1.550196047,       3.027076916
          0,           0,          59,      -3.012619488,      -1.208357617,      -1.514816242,       3.048675193
          0,           0,          60,      -3.034826569,      -1.162916504,      -1.555537516,       3.026655087
          0,           0,          61,      -3.041957471,      -1.147525137,      -1.574868512,        3.01968697
