"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,     -0.7919962721,      0.8960172684,      0.5199298064,       4.969793847
          0,           0,           1,     -0.8163109023,      0.8634150223,      0.4938343204,       4.945813224
          0,           0,           2,     -0.8568010905,      0.8039071594,      0.4218701185,       4.905880994
          0,           0,           3,     -0.8874741695,      0.7565712346,      0.3719699168,       4.875491739
          0,           0,           4,     -0.9409265082,      0.6838358913,      0.3480662193,       4.822363272
          0,           0,           5,     -0.9995729133,      0.6311476195,      0.3479627522,       4.764121121
          0,           0,           6,       -1.03127945,      0.6112671114,       0.338102169,       4.732025705
          0,           0,           7,      -1.056298575,      0.5672412677,       0.338895515,       4.706392478
          0,           0,           8,      -1.049021555,      0.5580842458,      0.3741404788,       4.713498677
          0,           0,           9,      -1.008538164,      0.6029372147,      0.3988336497,       4.754727034
          0,           0,          10,     -0.9893792791,      0.6155798044,      0.4164667186,       4.774533758
          0,           0,          11,     -0.9972466629,      0.6055717734,      0.3987359473,       4.766365484
          0,           0,          12,      -1.045545874,      0.5576352755,      0.3384388459,       4.717674788
          0,           0,          13,      -1.135228923,      0.4728656684,      0.2331377671,       4.628093446
          0,           0,          14,      -1.256021611,       0.362484389,     0.09993413424,       4.507391143
          0,           0,          15,      -1.401171901,      0.2301516849,    -0.04521089408,       4.362472016
          0,           0,          16,      -1.570966107,     0.08730803839,     -0.1940142108,       4.193526521
          0,           0,          17,      -1.751262452,    -0.06139081145,     -0.3087041268,       4.012713746
          0,           0,          18,      -1.902725612,     -0.1435822308,     -0.4004249622,       3.859769561
          0,           0,          19,      -1.999144123,     -0.1974222619,     -0.4897728129,       3.762657484
          0,           0,          20,      -2.045713275,     -0.2207931637,     -0.5559134439,       3.716026793
          0,           0,          21,      -2.086212203,     -0.2393614973,     -0.5965658748,       3.674914361
          0,           0,          22,      -2.141096896,     -0.2577500275,     -0.6262283076,       3.619940806
          0,           0,          23,      -2.206398019,     -0.2653411868,     -0.6552181326,       3.555334264
