"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
0, 4.366132419374754e-03, 2.043663757662667e-01, 2.095000000003956e+02, 1.033382631073260e+04, -2.699490541676921e-09, 1.207072069439090e+08, 8.202730000003329e+05, 6.514396178512360e+02, 1.699999999983365e+00, 1.306375069175952e-12
1, 9.951082520121479e-01, 6.504297850912204e-03, 1.141163584902493e+02, 6.451313674103973e+03, -1.843558784636540e+03, 6.548436547274151e+07, 7.351093725036646e+05, 6.407962085947067e+02, 1.199247228857833e+00, -3.341533806101322e-01
2, 9.956284242475507e-01, 9.956243162461899e-01, 2.095000002998222e+02, 1.033382631338881e+04, -1.582892900122122e-05, 1.207072071166715e+08, 8.202730002418002e+05, 6.514396178792248e+02, 1.699999986838160e+00, 9.487425610775430e-10
3, 4.376141119747864e-03, 9.956288622244573e-01, 2.094999999999994e+02, 1.033382631072401e+04, -2.329410865944396e-11, 1.207072069436797e+08, 8.202730000000014e+05, 6.514396178511970e+02, 1.700000000000024e+00, 5.481293996542455e-15
4, 4.915931067944443e-01, 5.709443923749705e-01, 2.094999972869321e+02, 1.033382622962390e+04, -5.954423980746642e-05, 1.207072053726242e+08, 8.202729977206555e+05, 6.514396175825038e+02, 1.700000110442592e+00, -8.943379775148607e-09
5, 5.002149358709640e-01, 5.701097790100064e-01, 2.094999970722359e+02, 1.033382622195190e+04, -6.472095325542127e-05, 1.207072052490405e+08, 8.202729975659074e+05, 6.514396175654701e+02, 1.700000118774869e+00, -9.550559155027605e-09
6, 5.100566736177014e-01, 5.697910778542739e-01, 2.094999969559125e+02, 1.033382621752699e+04, -6.772999770322825e-05, 1.207072051824178e+08, 8.202729974932033e+05, 6.514396175580794e+02, 1.700000123157745e+00, -9.835825792685661e-09
7, 5.181390851929609e-01, 5.703980790980928e-01, 2.094999970481660e+02, 1.033382621986463e+04, -6.574606812395418e-05, 1.207072052354371e+08, 8.202729975585332e+05, 6.514396175652066e+02, 1.700000119428814e+00, -9.579493078937354e-09
8, 5.241765863808099e-01, 5.677161796249639e-01, 2.094999974383315e+02, 1.033382623167353e+04, -5.834876328983800e-05, 1.207072054620415e+08, 8.202729979075408e+05, 6.514396176073483e+02, 1.700000103403535e+00, -8.210105053977149e-09
9, 5.306132622004694e-01, 5.696716920867129e-01, 2.094999978658433e+02, 1.033382624487844e+04, -4.924997426685811e-05, 1.207072057092924e+08, 8.202729982561865e+05, 6.514396176479512e+02, 1.700000086153157e+00, -6.842136684162050e-09
10, 5.391563157374593e-01, 5.680013000416341e-01, 2.094999994211610e+02, 1.033382629310138e+04, -1.663557703053604e-05, 1.207072066097247e+08, 8.202729995535822e+05, 6.514396178004527e+02, 1.700000023197432e+00, -1.751593174045113e-09
11, 5.511994536178646e-01, 5.668739034780579e-01, 2.095000024660302e+02, 1.033382638506510e+04, 5.559162954134183e-05, 1.207072083730872e+08, 8.202730021156436e+05, 6.514396181026593e+02, 1.699999899372426e+00, 8.301072609143768e-09
12, 5.600938632624007e-01, 5.702634071057670e-01, 2.095000036819211e+02, 1.033382642325521e+04, 8.399057206077581e-05, 1.207072090774491e+08, 8.202730031430684e+05, 6.514396182240524e+02, 1.699999850133354e+00, 1.233234143764488e-08
13, 5.613825980489513e-01, 5.630232861249307e-01, 2.095000065503183e+02, 1.033382651307831e+04, 1.442263117401921e-04, 1.207072107393843e+08, 8.202730055762832e+05, 6.514396185119854e+02, 1.699999733855357e+00, 2.187945651294466e-08
14, 5.678590943186401e-01, 5.686232169917425e-01, 2.095000063869715e+02, 1.033382650715830e+04, 1.437689347752253e-04, 1.207072106453252e+08, 8.202730054576183e+05, 6.514396184988723e+02, 1.699999740188414e+00, 2.141385530280036e-08
15, 5.691817448023752e-01, 5.615719082937715e-01, 2.095000086556216e+02, 1.033382658314475e+04, 1.839997325302271e-04, 1.207072119571702e+08, 8.202730072912429e+05, 6.514396187116120e+02, 1.699999649749250e+00, 2.860838072380412e-08
16, 4.261330978784115e-01, 5.761462756371201e-01, 2.094999984470710e+02, 1.033382627104675e+04, -2.699145922254646e-05, 1.207072060448295e+08, 8.202729986976027e+05, 6.514396176977752e+02, 1.700000064307604e+00, -5.110168369722558e-09
